run,tag,step,value
test/num_gt_boxes/Car,test/num_gt_boxes,385,3.46875
test/num_gt_boxes/Car,test/num_gt_boxes,389,4.28125
test/num_gt_boxes/Car,test/num_gt_boxes,393,2.71875
test/num_gt_boxes/Car,test/num_gt_boxes,397,4.1875
test/num_gt_boxes/Car,test/num_gt_boxes,401,4.15625
test/num_gt_boxes/Car,test/num_gt_boxes,405,2.53125
test/num_gt_boxes/Car,test/num_gt_boxes,409,3.53125
test/num_gt_boxes/Car,test/num_gt_boxes,413,3.4375
test/num_gt_boxes/Car,test/num_gt_boxes,417,4.15625
test/num_gt_boxes/Car,test/num_gt_boxes,421,3.0
test/num_gt_boxes/Car,test/num_gt_boxes,425,3.71875
test/num_gt_boxes/Car,test/num_gt_boxes,429,3.65625
test/num_gt_boxes/Car,test/num_gt_boxes,433,3.75
test/num_gt_boxes/Car,test/num_gt_boxes,437,4.15625
test/num_gt_boxes/Car,test/num_gt_boxes,441,4.5
test/num_gt_boxes/Car,test/num_gt_boxes,445,4.3125
test/num_gt_boxes/Car,test/num_gt_boxes,449,3.21875
test/num_gt_boxes/Car,test/num_gt_boxes,453,3.96875
test/num_gt_boxes/Car,test/num_gt_boxes,457,3.6875
test/num_gt_boxes/Car,test/num_gt_boxes,461,3.25
test/num_gt_boxes/Car,test/num_gt_boxes,465,3.75
test/num_gt_boxes/Car,test/num_gt_boxes,469,3.96875
test/num_gt_boxes/Cyclist,test/num_gt_boxes,5,0.21875
test/num_gt_boxes/Cyclist,test/num_gt_boxes,9,0.3125
test/num_gt_boxes/Cyclist,test/num_gt_boxes,13,0.3125
test/num_gt_boxes/Cyclist,test/num_gt_boxes,17,0.1875
test/num_gt_boxes/Cyclist,test/num_gt_boxes,21,0.21875
test/num_gt_boxes/Cyclist,test/num_gt_boxes,25,0.4375
test/num_gt_boxes/Cyclist,test/num_gt_boxes,29,0.125
test/num_gt_boxes/Cyclist,test/num_gt_boxes,33,0.25
test/num_gt_boxes/Cyclist,test/num_gt_boxes,37,0.28125
test/num_gt_boxes/Cyclist,test/num_gt_boxes,41,0.21875
test/num_gt_boxes/Cyclist,test/num_gt_boxes,45,0.15625
test/num_gt_boxes/Cyclist,test/num_gt_boxes,49,0.25
test/num_gt_boxes/Cyclist,test/num_gt_boxes,53,0.1875
test/num_gt_boxes/Cyclist,test/num_gt_boxes,57,0.15625
test/num_gt_boxes/Cyclist,test/num_gt_boxes,61,0.15625
test/num_gt_boxes/Cyclist,test/num_gt_boxes,65,0.1875
test/num_gt_boxes/Cyclist,test/num_gt_boxes,69,0.28125
test/num_gt_boxes/Cyclist,test/num_gt_boxes,73,0.34375
test/num_gt_boxes/Cyclist,test/num_gt_boxes,77,0.25
test/num_gt_boxes/Cyclist,test/num_gt_boxes,81,0.3125
test/num_gt_boxes/Cyclist,test/num_gt_boxes,85,0.3125
test/num_gt_boxes/Cyclist,test/num_gt_boxes,89,0.34375
test/num_gt_boxes/Cyclist,test/num_gt_boxes,93,0.125
test/num_gt_boxes/Cyclist,test/num_gt_boxes,97,0.125
test/num_gt_boxes/Cyclist,test/num_gt_boxes,101,0.125
test/num_gt_boxes/Cyclist,test/num_gt_boxes,105,0.28125
test/num_gt_boxes/Cyclist,test/num_gt_boxes,109,0.28125
test/num_gt_boxes/Cyclist,test/num_gt_boxes,113,0.21875
test/num_gt_boxes/Cyclist,test/num_gt_boxes,117,0.125
test/num_gt_boxes/Cyclist,test/num_gt_boxes,121,0.3125
test/num_gt_boxes/Cyclist,test/num_gt_boxes,125,0.09375
test/num_gt_boxes/Cyclist,test/num_gt_boxes,129,0.25
test/num_gt_boxes/Cyclist,test/num_gt_boxes,133,0.15625
test/num_gt_boxes/Cyclist,test/num_gt_boxes,137,0.21875
test/num_gt_boxes/Cyclist,test/num_gt_boxes,141,0.25
test/num_gt_boxes/Cyclist,test/num_gt_boxes,145,0.21875
test/num_gt_boxes/Cyclist,test/num_gt_boxes,149,0.1875
test/num_gt_boxes/Cyclist,test/num_gt_boxes,153,0.34375
test/num_gt_boxes/Cyclist,test/num_gt_boxes,157,0.21875
test/num_gt_boxes/Cyclist,test/num_gt_boxes,161,0.375
test/num_gt_boxes/Cyclist,test/num_gt_boxes,165,0.21875
test/num_gt_boxes/Cyclist,test/num_gt_boxes,169,0.1875
test/num_gt_boxes/Cyclist,test/num_gt_boxes,173,0.25
test/num_gt_boxes/Cyclist,test/num_gt_boxes,177,0.09375
test/num_gt_boxes/Cyclist,test/num_gt_boxes,181,0.0625
test/num_gt_boxes/Cyclist,test/num_gt_boxes,185,0.25
test/num_gt_boxes/Cyclist,test/num_gt_boxes,189,0.125
test/num_gt_boxes/Cyclist,test/num_gt_boxes,193,0.28125
test/num_gt_boxes/Cyclist,test/num_gt_boxes,197,0.375
test/num_gt_boxes/Cyclist,test/num_gt_boxes,201,0.15625
test/num_gt_boxes/Cyclist,test/num_gt_boxes,205,0.1875
test/num_gt_boxes/Cyclist,test/num_gt_boxes,209,0.25
test/num_gt_boxes/Cyclist,test/num_gt_boxes,213,0.28125
test/num_gt_boxes/Cyclist,test/num_gt_boxes,217,0.1875
test/num_gt_boxes/Cyclist,test/num_gt_boxes,221,0.28125
test/num_gt_boxes/Cyclist,test/num_gt_boxes,225,0.21875
test/num_gt_boxes/Cyclist,test/num_gt_boxes,229,0.28125
test/num_gt_boxes/Cyclist,test/num_gt_boxes,233,0.3125
test/num_gt_boxes/Cyclist,test/num_gt_boxes,237,0.21875
test/num_gt_boxes/Cyclist,test/num_gt_boxes,241,0.125
