itr,ip_score_fgs_car,ip_score_fgs_ped,ip_score_fgs_cyc
193,0.9662350249946713,0.8000934826944585,0.8313688809495813
194,0.9662029614736594,0.8000054010455896,0.8312356259025786
195,0.9661708979526475,0.7999173193967208,0.8311023708555758
196,0.9661388344316357,0.799829237747852,0.8309691158085731
197,0.9661067709106238,0.7997411560989831,0.8308358607615705
198,0.9660739485679251,0.7996508675970063,0.8306994286576967
199,0.9660411262252262,0.7995605790950295,0.8305629965538229
200,0.9660083038825273,0.7994702905930527,0.8304265644499491
201,0.9659754815398286,0.799380002091076,0.8302901323460754
202,0.965941883037084,0.7992877475569826,0.8301502807813688
203,0.9659082845343393,0.7991954930228893,0.8300104292166622
204,0.9658746860315947,0.799103238488796,0.8298705776519557
205,0.96584108752885,0.7990109839547027,0.8297307260872491
206,0.965806810625282,0.79891659471407,0.8295875835293745
207,0.9657725337217138,0.7988222054734371,0.8294444409714998
208,0.9657382568181457,0.7987278162328043,0.8293012984136253
209,0.9657039799145777,0.7986334269921715,0.8291581558557507
210,0.9656689508632594,0.7985369614139273,0.8290119576088644
211,0.9656339218119411,0.798440495835683,0.8288657593619779
212,0.9655988927606227,0.7983440302574387,0.8287195611150916
213,0.9655638637093045,0.7982475646791944,0.8285733628682053
214,0.9655280702404565,0.7981489036910976,0.8284237770124657
215,0.9654922767716085,0.7980502427030007,0.8282741911567262
216,0.9654564833027607,0.797951581714904,0.8281246053009867
217,0.9654206898339127,0.7978529207268071,0.8279750194452472
218,0.9653841780591308,0.797751979736131,0.827822327119035
219,0.9653476662843488,0.7976510387454548,0.827669634792823
220,0.9653111545095667,0.7975500977547787,0.8275169424666108
221,0.9652746427347848,0.7974491567641026,0.8273642501403986
222,0.9652373470084176,0.7973462737942122,0.8272082266306922
223,0.9652000512820503,0.7972433908243217,0.8270522031209857
224,0.9651627555556831,0.7971405078544314,0.8268961796112791
225,0.9651254598293159,0.797037624884541,0.8267401561015727
226,0.9650874300969818,0.7969328104168205,0.8265807319206541
227,0.9650494003646478,0.7968279959491,0.8264213077397353
228,0.9650113706323138,0.7967231814813795,0.8262618835588167
229,0.9649733408999798,0.7966183670136591,0.8261024593778981
230,0.9649345490634214,0.7965111795427363,0.8259396679915375
231,0.964895757226863,0.7964039920718136,0.825776876605177
232,0.9648569653903046,0.7962968046008908,0.8256140852188164
233,0.9648181735537462,0.796189617129968,0.8254512938324559
234,0.964778595698169,0.7960801622618341,0.8252853400054854
235,0.9647390178425919,0.7959707073937001,0.8251193861785149
236,0.9646994399870148,0.7958612525255662,0.8249534323515443
237,0.9646598621314376,0.7957517976574322,0.8247874785245738
238,0.9646195054598864,0.7956404278470973,0.824618277780782
239,0.9645791487883352,0.7955290580367624,0.8244490770369902
240,0.964538792116784,0.7954176882264274,0.8242798762931984
241,0.9644984354452327,0.7953063184160926,0.8241106755494066
242,0.9644572707892893,0.7951927511481142,0.8239381971423493
243,0.9644161061333458,0.7950791838801359,0.8237657187352919
244,0.9643749414774023,0.7949656166121575,0.8235932403282346
245,0.9643337768214589,0.7948520493441791,0.8234207619211772
246,0.9642918540858211,0.7947362609478226,0.8232447457170046
